  75.5    9.5  -0.59   1.82   1.29
  75.5   10.0  -0.61   1.67   1.47
  75.5   10.5  -0.63   1.53   1.63
  75.5   11.0  -0.65   1.37   1.82
  75.5   11.5  -0.67   1.21   2.00
  75.5   12.0  -0.68   1.05   2.18
  75.5   12.5  -0.70   0.89   2.37
  75.5   13.0  -0.72   0.72   2.57
  75.5   13.5  -0.74   0.56   2.75
  75.5   14.0  -0.75   0.39   2.95
  75.5   14.5  -0.77   0.22   3.14
  75.5   15.0  -0.78   0.05   3.33
  75.5   15.5  -0.79  -0.12   3.53
  75.5   16.0  -0.80  -0.28   3.71
  75.5   16.5  -0.80  -0.45   3.90
  75.5   17.0  -0.80  -0.61   4.07
  75.5   17.5  -0.80  -0.78   4.26
  75.5   18.0  -0.80  -0.93   4.42
  75.5   18.5  -0.79  -1.09   4.59
  75.5   19.0  -0.79  -1.24   4.76
  75.5   19.5  -0.78  -1.39   4.92
  75.5   20.0  -0.77  -1.53   5.07
  75.5   20.5  -0.76  -1.67   5.22
  75.5   21.0  -0.74  -1.81   5.36
  75.5   21.5  -0.73  -1.94   5.50
  75.5   22.0  -0.72  -2.06   5.63
  75.5   22.5  -0.70  -2.18   5.75
  75.5   23.0  -0.69  -2.29   5.86
  75.5   23.5  -0.67  -2.40   5.97
  75.5   24.0  -0.66  -2.50   6.08
  75.5   24.5  -0.64  -2.60   6.18
  75.5   25.0  -0.62  -2.68   6.26
  75.5   25.5  -0.61  -2.77   6.35
  75.5   26.0  -0.59  -2.85   6.43
  75.5   26.5  -0.58  -2.92   6.50
  75.5   27.0  -0.56  -2.99   6.57
  75.5   27.5  -0.55  -3.05   6.63
  75.5   28.0  -0.53  -3.11   6.69
  75.6    9.5  -0.62   1.71   1.43
  75.6   10.0  -0.64   1.56   1.60
  75.6   10.5  -0.66   1.41   1.78
  75.6   11.0  -0.68   1.25   1.97
  75.6   11.5  -0.70   1.09   2.15
  75.6   12.0  -0.72   0.92   2.35
  75.6   12.5  -0.74   0.75   2.54
  75.6   13.0  -0.76   0.58   2.74
  75.6   13.5  -0.78   0.41   2.94
  75.6   14.0  -0.80   0.24   3.14
  75.6   14.5  -0.81   0.07   3.33
  75.6   15.0  -0.83  -0.10   3.52
  75.6   15.5  -0.84  -0.27   3.72
  75.6   16.0  -0.85  -0.44   3.91
  75.6   16.5  -0.85  -0.60   4.08
  75.6   17.0  -0.85  -0.77   4.27
  75.6   17.5  -0.85  -0.93   4.45
  75.6   18.0  -0.85  -1.09   4.62
  75.6   18.5  -0.84  -1.24   4.78
  75.6   19.0  -0.84  -1.39   4.95
  75.6   19.5  -0.82  -1.54   5.10
  75.6   20.0  -0.81  -1.68   5.25
  75.6   20.5  -0.80  -1.82   5.40
  75.6   21.0  -0.79  -1.95   5.54
  75.6   21.5  -0.77  -2.08   5.67
  75.6   22.0  -0.75  -2.20   5.79
  75.6   22.5  -0.74  -2.32   5.92
  75.6   23.0  -0.72  -2.42   6.02
  75.6   23.5  -0.70  -2.53   6.13
  75.6   24.0  -0.69  -2.62   6.23
  75.6   24.5  -0.67  -2.72   6.33
  75.6   25.0  -0.65  -2.80   6.41
  75.6   25.5  -0.64  -2.89   6.50
  75.6   26.0  -0.62  -2.96   6.57
  75.6   26.5  -0.60  -3.03   6.63
  75.6   27.0  -0.59  -3.10   6.71
  75.6   27.5  -0.57  -3.16   6.76
  75.6   28.0  -0.55  -3.21   6.81
  75.7    9.5  -0.64   1.60   1.56
  75.7   10.0  -0.67   1.45   1.74
  75.7   10.5  -0.69   1.29   1.93
  75.7   11.0  -0.71   1.12   2.12
  75.7   11.5  -0.74   0.96   2.31
  75.7   12.0  -0.76   0.79   2.51
  75.7   12.5  -0.78   0.62   2.71
  75.7   13.0  -0.80   0.45   2.90
  75.7   13.5  -0.83   0.27   3.12
  75.7   14.0  -0.85   0.10   3.31
  75.7   14.5  -0.87  -0.07   3.51
  75.7   15.0  -0.88  -0.25   3.71
  75.7   15.5  -0.89  -0.42   3.91
  75.7   16.0  -0.90  -0.59   4.10
  75.7   16.5  -0.91  -0.76   4.29
  75.7   17.0  -0.91  -0.92   4.47
  75.7   17.5  -0.91  -1.08   4.64
  75.7   18.0  -0.91  -1.24   4.82
  75.7   18.5  -0.90  -1.40   4.99
  75.7   19.0  -0.89  -1.54   5.14
  75.7   19.5  -0.88  -1.69   5.30
  75.7   20.0  -0.86  -1.83   5.44
  75.7   20.5  -0.85  -1.97   5.59
  75.7   21.0  -0.83  -2.09   5.71
  75.7   21.5  -0.81  -2.22   5.85
  75.7   22.0  -0.80  -2.34   5.97
  75.7   22.5  -0.78  -2.45   6.09
  75.7   23.0  -0.76  -2.56   6.20
  75.7   23.5  -0.74  -2.66   6.30
  75.7   24.0  -0.72  -2.75   6.38
  75.7   24.5  -0.70  -2.84   6.47
  75.7   25.0  -0.68  -2.92   6.55
  75.7   25.5  -0.67  -3.00   6.63
  75.7   26.0  -0.65  -3.07   6.70
  75.7   26.5  -0.63  -3.14   6.77
  75.7   27.0  -0.61  -3.20   6.83
  75.7   27.5  -0.59  -3.26   6.88
  75.7   28.0  -0.58  -3.31   6.93
  75.8    9.5  -0.67   1.49   1.70
  75.8   10.0  -0.70   1.33   1.89
  75.8   10.5  -0.72   1.17   2.07
  75.8   11.0  -0.75   1.00   2.27
  75.8   11.5  -0.77   0.83   2.47
  75.8   12.0  -0.80   0.66   2.67
  75.8   12.5  -0.83   0.48   2.89
  75.8   13.0  -0.85   0.31   3.08
  75.8   13.5  -0.88   0.13   3.30
  75.8   14.0  -0.90  -0.05   3.50
  75.8   14.5  -0.92  -0.22   3.70
  75.8   15.0  -0.94  -0.40   3.91
  75.8   15.5  -0.96  -0.57   4.11
  75.8   16.0  -0.97  -0.74   4.30
  75.8   16.5  -0.97  -0.91   4.49
  75.8   17.0  -0.98  -1.07   4.67
  75.8   17.5  -0.98  -1.24   4.85
  75.8   18.0  -0.97  -1.39   5.01
  75.8   18.5  -0.96  -1.55   5.19
  75.8   19.0  -0.95  -1.70   5.35
